aqi,aqiLevel,bWendu,city,date,yWendu,fengli_encode,tianqi_1_encode,tianqi_2_encode
100,2,16,杭州,2017-04-01,6,0,3,0
78,2,22,杭州,2017-04-02,10,0,0,0
82,2,23,杭州,2017-04-03,12,0,3,3
65,2,25,杭州,2017-04-04,15,2,3,6
65,2,25,杭州,2017-04-05,16,0,4,4
139,3,27,杭州,2017-04-06,18,0,14,14
65,2,21,杭州,2017-04-07,15,2,6,4
89,2,25,杭州,2017-04-08,15,2,3,18
43,1,19,杭州,2017-04-09,11,3,14,5
32,1,14,杭州,2017-04-10,11,0,6,5
38,1,15,杭州,2017-04-11,10,2,4,3
62,2,18,杭州,2017-04-12,8,0,3,3
70,2,23,杭州,2017-04-13,11,2,0,0
69,2,28,杭州,2017-04-14,15,2,0,0
78,2,31,杭州,2017-04-15,17,0,3,3
80,2,30,杭州,2017-04-16,21,0,6,5
44,1,25,杭州,2017-04-17,16,2,5,3
72,2,29,杭州,2017-04-18,14,2,0,3
90,2,28,杭州,2017-04-19,18,2,6,7
76,2,26,杭州,2017-04-20,15,2,3,3
79,2,23,杭州,2017-04-21,11,3,3,3
68,2,21,杭州,2017-04-22,11,2,0,0
89,2,24,杭州,2017-04-23,12,2,0,3
87,2,27,杭州,2017-04-24,16,2,0,3
86,2,25,杭州,2017-04-25,17,2,6,18
41,1,20,杭州,2017-04-26,13,2,5,6
51,2,21,杭州,2017-04-27,11,2,3,3
66,2,26,杭州,2017-04-28,12,2,0,0
69,2,28,杭州,2017-04-29,14,0,0,0
72,2,29,杭州,2017-04-30,16,2,3,3
82,2,30,杭州,2017-05-01,19,0,6,14
49,1,22,杭州,2017-05-02,18,2,6,4
44,1,25,杭州,2017-05-03,19,3,4,6
41,1,24,杭州,2017-05-04,17,3,14,3
43,1,27,杭州,2017-05-05,17,0,3,3
70,2,25,杭州,2017-05-06,15,0,3,3
93,2,26,杭州,2017-05-07,16,0,3,6
88,2,23,杭州,2017-05-08,18,2,14,5
