aqi,aqiInfo,aqiLevel,bWendu,city,date,fengli,fengxiang,tianqi,yWendu
100,良,2,16,杭州,2017-04-01,1-2级,北风,多云~晴,6
78,良,2,22,杭州,2017-04-02,1-2级,西风,晴,10
82,良,2,23,杭州,2017-04-03,1-2级,东南风,多云,12
65,良,2,25,杭州,2017-04-04,3-4级,东南风,多云~阵雨,15
65,良,2,25,杭州,2017-04-05,1-2级,南风,阴,16
139,轻度污染,3,27,杭州,2017-04-06,1-2级,西南风,中雨,18
65,良,2,21,杭州,2017-04-07,3-4级,东北风,阵雨~阴,15
89,良,2,25,杭州,2017-04-08,3-4级,东北风,多云~大雨,15
43,优,1,19,杭州,2017-04-09,4-5级,东北风,中雨~小雨,11
32,优,1,14,杭州,2017-04-10,1-2级,北风,阵雨~小雨,11
38,优,1,15,杭州,2017-04-11,3-4级,北风,阴~多云,10
62,良,2,18,杭州,2017-04-12,1-2级,东北风,多云,8
70,良,2,23,杭州,2017-04-13,3-4级,东南风,晴,11
69,良,2,28,杭州,2017-04-14,3-4级,南风,晴,15
78,良,2,31,杭州,2017-04-15,1-2级,东南风,多云,17
80,良,2,30,杭州,2017-04-16,1-2级,南风,阵雨~小雨,21
44,优,1,25,杭州,2017-04-17,3-4级,西南风,小雨~多云,16
72,良,2,29,杭州,2017-04-18,3-4级,西北风,晴~多云,14
90,良,2,28,杭州,2017-04-19,3-4级,西南风,阵雨~雷阵雨,18
76,良,2,26,杭州,2017-04-20,3-4级,西北风,多云,15
79,良,2,23,杭州,2017-04-21,4-5级,西北风,多云,11
68,良,2,21,杭州,2017-04-22,3-4级,北风,晴,11
89,良,2,24,杭州,2017-04-23,3-4级,东南风,晴~多云,12
87,良,2,27,杭州,2017-04-24,3-4级,东南风,晴~多云,16
86,良,2,25,杭州,2017-04-25,3-4级,南风,阵雨~大雨,17
41,优,1,20,杭州,2017-04-26,3-4级,东北风,小雨~阵雨,13
51,良,2,21,杭州,2017-04-27,3-4级,北风,多云,11
66,良,2,26,杭州,2017-04-28,3-4级,西南风,晴,12
69,良,2,28,杭州,2017-04-29,1-2级,西南风,晴,14
72,良,2,29,杭州,2017-04-30,3-4级,西南风,多云,16
82,良,2,30,杭州,2017-05-01,1-2级,东南风,阵雨~中雨,19
49,优,1,22,杭州,2017-05-02,3-4级,东风,阵雨~阴,18
44,优,1,25,杭州,2017-05-03,4-5级,东风,阴~阵雨,19
41,优,1,24,杭州,2017-05-04,4-5级,西北风,中雨~多云,17
43,优,1,27,杭州,2017-05-05,1-2级,西北风,多云,17
70,良,2,25,杭州,2017-05-06,1-2级,东北风,多云,15
93,良,2,26,杭州,2017-05-07,1-2级,东风,多云~阵雨,16
88,良,2,23,杭州,2017-05-08,3-4级,东南风,中雨~小雨,18
52,良,2,27,杭州,2017-05-09,4-5级,西风,多云~晴,16
67,良,2,32,杭州,2017-05-10,1-2级,西南风,晴,17
71,良,2,33,杭州,2017-05-11,1-2级,东南风,多云~中雨,21
57,良,2,22,杭州,2017-05-12,4-5级,东北风,中雨~阴,16
49,优,1,29,杭州,2017-05-13,1-2级,南风,多云,17
72,良,2,31,杭州,2017-05-14,1-2级,东北风,多云,18
64,良,2,26,杭州,2017-05-15,3-4级,东北风,阵雨,19
51,良,2,23,杭州,2017-05-16,1-2级,东北风,阵雨~阴,16
71,良,2,27,杭州,2017-05-17,1-2级,东风,多云~晴,18
78,良,2,30,杭州,2017-05-18,1-2级,东南风,晴,17
70,良,2,30,杭州,2017-05-19,1-2级,东南风,多云,18
70,良,2,29,杭州,2017-05-20,3-4级,东南风,阴~多云,19
56,良,2,30,杭州,2017-05-21,3-4级,东南风,多云,20
77,良,2,30,杭州,2017-05-22,3-4级,东南风,多云~阴,21
78,良,2,29,杭州,2017-05-23,3-4级,北风,中雨~阵雨,20
46,优,1,24,杭州,2017-05-24,4-5级,北风,阴~多云,16
